name,n_original_sents,n_generated_sents,split_type,model_name,emb_dimension,batch_size,SCORE MaxSIM Left,SCORE MaxSIM Left stdev,SCORE MaxSIM Left median,SCORE MaxSIM Right,SCORE MaxSIM Right stdev,SCORE MaxSIM Right median,execution_time
book,721,721,sentences,bert-base-uncased,768,32,0.713,0.071,0.709,0.638,0.074,0.634,17.9718
computer,294,294,sentences,bert-base-uncased,768,32,0.76,0.074,0.757,0.652,0.08,0.653,5.5295
culture,204,204,sentences,bert-base-uncased,768,32,0.683,0.062,0.682,0.609,0.096,0.593,4.3186
military,298,298,sentences,bert-base-uncased,768,32,0.764,0.063,0.767,0.616,0.083,0.61,4.925
movie,1120,1120,sentences,bert-base-uncased,768,32,0.688,0.077,0.677,0.621,0.079,0.607,23.6346
music,896,896,sentences,bert-base-uncased,768,32,0.699,0.072,0.696,0.624,0.068,0.621,24.7712
nature,620,620,sentences,bert-base-uncased,768,32,0.773,0.064,0.774,0.651,0.095,0.641,17.2255
politics,275,275,sentences,bert-base-uncased,768,32,0.795,0.066,0.784,0.646,0.102,0.634,7.771
space,265,265,sentences,bert-base-uncased,768,32,0.791,0.131,0.803,0.701,0.108,0.701,7.4008
sport,642,642,sentences,bert-base-uncased,768,32,0.757,0.082,0.752,0.634,0.109,0.613,17.5546
